Date,Not indexed,Indexed,Impressions
2025-07-24,,,11
2025-07-25,93,54,6
2025-07-26,132,88,15
2025-07-27,132,88,10
2025-07-28,132,88,10
2025-07-29,135,87,5
2025-07-30,135,87,10
2025-07-31,135,87,9
2025-08-01,135,87,8
2025-08-02,232,107,3
2025-08-03,232,107,8
2025-08-04,232,107,10
2025-08-05,304,153,5
2025-08-06,304,153,8
2025-08-07,304,153,7
2025-08-08,304,153,11
2025-08-09,452,215,9
2025-08-10,452,215,9
2025-08-11,452,215,1
2025-08-12,612,166,6
2025-08-13,612,166,10
2025-08-14,612,166,5
2025-08-15,612,166,5
2025-08-16,627,170,3
2025-08-17,627,170,10
2025-08-18,627,170,9
2025-08-19,632,169,3
2025-08-20,632,169,2
2025-08-21,632,169,10
2025-08-22,632,169,9
2025-08-23,635,167,4
2025-08-24,635,167,27
2025-08-25,635,167,17
2025-08-26,637,171,13
2025-08-27,637,171,9
2025-08-28,637,171,13
2025-08-29,637,171,4
2025-08-30,640,171,10
2025-08-31,640,171,14
2025-09-01,640,171,6
2025-09-02,643,170,7
2025-09-03,643,170,10
2025-09-04,643,170,4
2025-09-05,643,170,7
2025-09-06,641,172,15
2025-09-07,641,172,5
2025-09-08,641,172,12
2025-09-09,645,171,9
2025-09-10,645,171,10
2025-09-11,645,171,9
2025-09-12,645,171,1
2025-09-13,652,170,7
2025-09-14,652,170,4
2025-09-15,652,170,5
2025-09-16,667,156,3
2025-09-17,667,156,2
2025-09-18,667,156,5
2025-09-19,667,156,11
2025-09-20,677,147,5
2025-09-21,677,147,10
2025-09-22,677,147,4
2025-09-23,710,118,7
2025-09-24,710,118,8
2025-09-25,710,118,10
2025-09-26,710,118,8
2025-09-27,699,115,6
2025-09-28,699,115,0
2025-09-29,699,115,8
2025-09-30,715,99,3
2025-10-01,715,99,5
2025-10-02,715,99,4
2025-10-03,715,99,7
2025-10-04,724,91,11
2025-10-05,724,91,4
2025-10-06,724,91,4
2025-10-07,733,82,4
2025-10-08,733,82,5
2025-10-09,733,82,10
2025-10-10,733,82,2
2025-10-11,735,80,0
2025-10-12,735,80,1
2025-10-13,735,80,12
2025-10-14,737,78,3
2025-10-15,737,78,1
2025-10-16,737,78,0
2025-10-17,737,78,3